aaron	a: r O n
salmonellan	s a l m O n E l a n
salmonella	s a l m O n E l a
salmonelluna	s a l m O n E l Y n a
salmonellunnar	s a l m O n E l Y n a r
salmonellunni	s a l m O n E l Y n I
salmonellu	s a l m O n E l Y
salmonellusýkingarinnar	s a l m O n E l Y s i c i N k a r I n a r
salmonellusýkingar	s a l m O n E l Y s i c i N k a r
salmonellusýkingin	s a l m O n E l Y s i c i J c I n
salmonellusýking	s a l m O n E l Y s i c i N k
salmonellusýkingu	s a l m O n E l Y s i c i N k Y
salmon	s a l m O n
salnum	s a l n Y m
salome	s a: l O m E
salóme	s a: l ou m E
sal	s a: l
saltfiski	s a l_0 t f I s c I
saltfiskur	s a l_0 t f I s k Y r
saltið	s a l_0 t I D
salti	s a l_0 t I
saltkjöt	s a l_0 t c_h 9 t
salt	s a l_0 t
salts	s a l_0 t s
saltsteinum	s a l_0 t s t ei n Y m
salurinn	s a: l Y r I n
salur	s a: l Y r
salvador	s a l v a t O r
salvör	s a l v 9 r
salzburg	s a l s p u r k
samanber	s a: m a n p E r
samanborið	s a: m a n p O r I D
samanburðar	s a: m a n p Y r D a r
samanburði	s a: m a n p Y r D I
samanburð	s a: m a n p Y r D
samanburðurinn	s a: m a n p Y r D Y r I n
samanburður	s a: m a n p Y r D Y r
samanherptur	s a: m a n h E r_0 t Y r
samankomnir	s a: m a n k_h O m n I r
samanlagður	s a: m a n l a G D Y r
samanlagt	s a: m a n l a x t
samanlögð	s a: m a n l 9 G D
samanlögðum	s a: m a n l 9 G D Y m
samanlögðu	s a: m a n l 9 G D Y
saman	s a: m a n
samans	s a: m a n s
samanstanda	s a: m a n s t a n t a
samanstendur	s a: m a n s t E n t Y r
samanstóð	s a: m a n s t ou D
samantekt	s a: m a n t_h E x t
sama	s a: m a
samastað	s a: m a s t a D
sambandið	s a m p a n t I D
sambandinu	s a m p a n t I n Y
sambandi	s a m p a n t I
samband	s a m p a n t
sambandsins	s a m p a n t s I n s
sambands	s a m p a n t s
sambíóin	s a: m p i j ou I n
sambland	s a m p l a n t
sambúð	s a m p u D
sambýli	s a m p i l I
sambýliskona	s a m p i l I s k_h O n a
sambýliskonu	s a m p i l I s k_h O n Y
sambýlismaður	s a m p i l I s m a D Y r
sambærilegan	s a m p ai r I l E G a n
sambærilegar	s a m p ai r I l E G a r
sambærilega	s a m p ai r I l E G a
sambærilegir	s a m p ai r I l ei j I r
sambærilegra	s a m p ai r I l E G r a
sambærilegri	s a m p ai r I l E G r I
sambærileg	s a m p ai r I l E G
sambærilegt	s a m p ai r I l E x t
sambærilegum	s a m p ai r I l E G Y m
sambærilegur	s a m p ai r I l E G Y r
sambærilegu	s a m p ai r I l E G Y
sambönd	s a m p 9 n t
samböndum	s a m p 9 n t Y m
samdi	s a m t I
samdóma	s a m t ou m a
samdráttar	s a m t r au h t a r
samdrátt	s a m t r au h t
samdrátturinn	s a m t r au h t Y r I n
samdráttur	s a m t r au h t Y r
samdrætti	s a m t r ai h t I
samdægurs	s a m t ai G Y r_0 s
sameiginlegan	s a: m ei j I n l E G a n
sameiginlegar	s a: m ei j I n l E G a r
sameiginlega	s a: m ei j I n l E G a
sameiginlegrar	s a: m ei j I n l E G r a r
sameiginlegra	s a: m ei j I n l E G r a
sameiginlegri	s a: m ei j I n l E G r I
sameiginleg	s a: m ei j I n l E G
sameiginlegs	s a: m ei j I n l E x s
sameiginlegt	s a: m ei j I n l E x t
sameiginlegum	s a: m ei j I n l E G Y m
sameiginlegur	s a: m ei j I n l E G Y r
sameiginlegu	s a: m ei j I n l E G Y
sameign	s a: m ei k n_0
sameinaðar	s a: m ei n a D a r
sameinaða	s a: m ei n a D a
sameinaðir	s a: m ei n a D I r
sameinaði	s a: m ei n a D I
sameinaðist	s a: m ei n a D I s t
sameinað	s a: m ei n a D
sameinaðs	s a: m ei n a D s
sameinaður	s a: m ei n a D Y r
sameinar	s a: m ei n a r
sameina	s a: m ei n a
sameinast	s a: m ei n a s t
sameiningar	s a: m ei n i N k a r
sameiningin	s a: m ei n i J c I n
sameining	s a: m ei n i N k
sameininguna	s a: m ei n i N k Y n a
sameiningunni	s a: m ei n i N k Y n I
sameiningu	s a: m ei n i N k Y
sameinist	s a: m ei n I s t
sameinuð	s a: m ei n Y D
sameinuðu	s a: m ei n Y D Y
sameinuðust	s a: m ei n Y D Y s t
samfara	s a m f a r a
samfarir	s a m f a r I r
samfeðra	s a m f E D r a
samfellda	s a m f E l t a
samfelld	s a m f E l t
samfellt	s a m f E l_0 t
samfellu	s a m f E t l Y
samferðamenn	s a m f E r D a m E n
samferða	s a m f E r D a
samfestingnum	s a m f E s t i N n Y m
samfélaga	s a m f j E l a G a
samfélagið	s a m f j E l ai j I D
samfélaginu	s a m f j E l ai j I n Y
samfélagi	s a m f j E l ai j I
samfélag	s a m f j E l a G
samfélagsins	s a m f j E l a x s I n s
samfélagslega	s a m f j E l a x s t l E G a
samfélagsleg	s a m f j E l a x s t l E G
samfélagslegt	s a m f j E l a x s t l E x t
samfélagslegum	s a m f j E l a x s t l E G Y m
samfélagslegu	s a m f j E l a x s t l E G Y
samfélagsmiðlar	s a m f j E l a x s m I D l a r
samfélagsmiðla	s a m f j E l a x s m I D l a
samfélagsmiðlinum	s a m f j E l a x s m I D l I n Y m
samfélagsmiðlum	s a m f j E l a x s m I D l Y m
samfélags	s a m f j E l a x s
samfélagsþjónustu	s a m f j E l a x s T j ou n Y s t Y
samfélög	s a m f j E l 9 G
samfélögum	s a m f j E l 9 G Y m
samfleytt	s a m f l ei h t
samfylgdina	s a m f I l t I n a
samfylgd	s a m f I l t
samfylkingarinnar	s a m f I l_0 c i N k a r I n a r
samfylkingar	s a m f I l_0 c i N k a r
samfylkingin	s a m f I l_0 c i J c I n
samfylking	s a m f I l_0 c i N k
samfylkinguna	s a m f I l_0 c i N k Y n a
samfylkingunni	s a m f I l_0 c i N k Y n I
samfylkingu	s a m f I l_0 c i N k Y
samgangna	s a m k au N n a
samgangur	s a m k au N k Y r
samgönguáætlun	s a m k 9i N k Y au ai h t l Y n
samgöngumála	s a m k 9i N k Y m au l a
samgöngumál	s a m k 9i N k Y m au l
samgöngumálum	s a m k 9i N k Y m au l Y m
samgöngum	s a m k 9i N k Y m
samgöngunefndar	s a m k 9i N k Y n E m t a r
samgöngunefnd	s a m k 9i N k Y n E m t
samgönguráðherra	s a m k 9i N k Y r au T h E r a
samgönguráðuneytið	s a m k 9i N k Y r au D Y n ei t I D
samgönguráðuneytinu	s a m k 9i N k Y r au D Y n ei t I n Y
samgönguráðuneytisins	s a m k 9i N k Y r au D Y n ei t I s I n s
samgöngur	s a m k 9i N k Y r
samgönguslysa	s a m k 9i N k Y s t l I s a
samgöngustofa	s a m k 9i N k Y s t O v a
samgöngustofu	s a m k 9i N k Y s t O v Y
samheitaorðabók	s a: m h ei t a O r D a p ou k
samheiti	s a m h ei t I
samheldni	s a m h E l t n I
samhengið	s a m h ei J c I D
samhenginu	s a m h ei J c I n Y
samhengi	s a m h ei J c I
samhengis	s a m h ei J c I s
samhent	s a: m h E n_0 t
samherjar	s a m h E r j a r
samherja	s a: m h E r j a
samherji	s a: m h E r j I
samherjum	s a m h E r j Y m
samhjálparfélagsskapur	s a m C au l_0 p a r_0 f j E l a x s k a p Y r
samhjálpar	s a m C au l_0 p a r
samhjálp	s a m C au l_0 p
samhliða	s a m l_0 I D a
samhljóða	s a m l_0 j ou D a
samhljómur	s a m l_0 j ou m Y r
samhryggist	s a m r_0 I c I s t
samhæfa	s a m h ai v a
samhæfingu	s a m h ai v i N k Y
samið	s a: m I D
saminn	s a: m I n
samin	s a: m I n
samir	s a: m i r
sami	s a: m I
samkaup	s a m k_h 9i p
samkenndar	s a m c_h E n t a r
samkennd	s a m c_h E n t
samkeppnina	s a m c_h E h p n I n a
samkeppninnar	s a m c_h E h p n I n a r
samkeppninni	s a m c_h E h p n I n I
samkeppnin	s a m c_h E h p n I n
samkeppnisaðila	s a m c_h E h p n I s a D I l a
samkeppni	s a m c_h E h p n I
samkeppniseftirlitið	s a m c_h E h p n I s E f t I r l I t I D
samkeppniseftirlitinu	s a m c_h E h p n I s E f t I r l I t I n Y
samkeppniseftirlitsins	s a m c_h E h p n I s E f t I r l I t s I n s
samkeppnisfær	s a m c_h E h p n I s f ai r
samkeppnishamlandi	s a m c_h E h p n I s h a m l a n t I
samkeppnishæfni	s a m c_h E h p n I s h ai p n I
samkeppnishæf	s a m c_h E h p n I s h ai v
samkeppnishæft	s a m c_h E h p n I s h ai f t
samkeppnislaga	s a m c_h E h p n I s t l a G a
samkeppnislög	s a m c_h E h p n I s t l 9 G
samkeppnislögum	s a m c_h E h p n I s t l 9 G Y m
samkeppnismarkaði	s a m c_h E h p n I s m a r_0 k a D I
samkeppnismála	s a m c_h E h p n I s m au l a
samkeppnisráð	s a m c_h E h p n I s r au D
samkeppnisráðs	s a m c_h E h p n I s r au D s
samkeppnisreglum	s a m c_h E h p n I s r E k l Y m
samkeppnisstaða	s a m c_h E h p n I s t a D a
samkeppnisstofnunar	s a m c_h E h p n I s t O p n Y n a r
samkeppnisstofnun	s a m c_h E h p n I s t O p n Y n
samkeppnisstöðu	s a m c_h E h p n I s t 9 D Y
samkeppnisumhverfi	s a m c_h E h p n I s Y m k_h v E r v I
samkeppnisyfirvalda	s a m c_h E h p n I s I v I r v a l t a
samkeppnisyfirvöld	s a m c_h E h p n I s I v I r v 9 l t
samkirkjulegra	s a m c_h I r_0 c Y l E G r a
samkirkjulegu	s a m c_h I r_0 c Y l E G Y
samkirkjunefnd	s a m c_h I r_0 c Y n E m t
samkoma	s a m k_h O m a
samkomuhúsinu	s a m k_h O m Y h u s I n Y
samkomulagið	s a m k_h O m Y l ai j I D
samkomulaginu	s a m k_h O m Y l ai j I n Y
samkomulagi	s a m k_h O m Y l ai j I
samkomulag	s a m k_h O m Y l a G
samkomulagsins	s a m k_h O m Y l a x s I n s
samkomulags	s a m k_h O m Y l a x s
samkomum	s a m k_h O m Y m
samkomuna	s a m k_h O m Y n a
samkomur	s a m k_h O m Y r
samkomu	s a m k_h O m Y
samkvæmi	s a m k_h v ai m I
samkvæm	s a m k_h v ai m
samkvæmt	s a m k_h v ai m_0 t
samkvæmur	s a m k_h v ai m Y r
samkynhneigða	s a m c_h I n n_0 ei G D a
samkynhneigðir	s a m c_h I n n_0 ei G D I r
samkynhneigðra	s a m c_h I n_0 ei G D r a
samkynhneigð	s a m c_h I n_0 ei G D
samkynhneigðum	s a m c_h I n n_0 ei G D Y m
samkynhneigður	s a m c_h I n ei G D Y r
samkynja	s a m c_h I n j a
samlegðaráhrif	s a m l E G D a r au r_0 I v
samleið	s a m l ei D
samliggjandi	s a m l I c a n t I
samlokugrillið	s a m l O k Y k r I l I D
samlokugrillin	s a m l O k Y k r I l I n
samlokugrillinu	s a m l O k Y k r I l I n Y
samlokugrilli	s a m l O k Y k r I l I
samlokugrill	s a m l O k Y k r I l
samlyndi	s a m l I n t I
sammála	s a m au l a
sammerkt	s a m E r_0 t
sammyndum	s a m I n t Y m
sammæðra	s a m ai D r a
sammælst	s a m ai l s t
samnefnda	s a m n E m t a
samnefndri	s a m n E m t r I
samnefndu	s a m n E m t Y
samneyti	s a m n ei t I
samningaborðið	s a m n i N k a p O r D I D
samningaborðinu	s a m n i N k a p O r D I n Y
samningafundur	s a m n i N k a f Y n t Y r
samningalaga	s a m n i N k a l a G a
samningamenn	s a m n i N k a m E n
samningana	s a m n i N k a n a
samninganefndar	s a m n i N k a n E m t a r
samninganefndin	s a m n i N k a n E m t I n
samninganefndir	s a m n i N k a n E m t I r
samninganefnd	s a m n i N k a n E m t
samninganna	s a m n i N k a n a
samningaréttar	s a m n i N k a r j E h t a r
samningarnir	s a m n i N k a r t n I r
samningar	s a m n i N k a r
samninga	s a m n i N k a
samningaviðræðna	s a m n i N k a v I D r ai D n a
samningaviðræðum	s a m n i N k a v I D r ai D Y m
samningaviðræðunum	s a m n i N k a v I D r ai D O n Y m
samningaviðræður	s a m n i N k a v I D r ai D Y r
samninginn	s a m n i J c I n
samningi	s a m n i J c I
samningnum	s a m n i N n Y m
samningsaðilar	s a m n i N s a D I l a r
samningsaðila	s a m n i N s a D I l a
samning	s a m n i N k
samningsbundinn	s a m n i N s p Y n t I n
samningseyðublað	s a m n i N s ei D Y p l a D
samningsgerðina	s a m n i N s c E r D I n a
samningsgerð	s a m n i N s c E r D
samningsins	s a m n i N s I n s
samningslaus	s a m n i N s t l 9i s
samnings	s a m n i N s
samningsstöðu	s a m n i N s t 9 D Y
samningstímanum	s a m n i N s t_h i m a n Y m
samningstíma	s a m n i N s t_h i m a
samningsupphæðin	s a m n i N s Y h p h ai D I n
samningum	s a m n i N k Y m
samningunum	s a m n i N k O n Y m
samningurinn	s a m n i N k Y r I n
samningur	s a m n i N k Y r
samningu	s a m n i N k Y
samnorrænt	s a m n O r ai n_0 t
samofin	s a: m O v I n
sampdoria	s a m_0 p t O r i j a
samráði	s a m r au D I
samráð	s a m r au D
samráðs	s a m r au D s
samrunann	s a m r Y n a n
samruna	s a m r Y n a
samruninn	s a m r Y n I n
samruni	s a m r Y n I
samrýmast	s a m r i m a s t
samrýmist	s a m r i m I s t
samrýmst	s a m r i m s t
samrýnd	s a m r i n t
samræði	s a m r ai D I
samræðum	s a m r ai D Y m
samræður	s a m r ai D Y r
samræðu	s a m r ai D Y
samræma	s a m r ai m a
samræmast	s a m r ai m a s t
samræmdar	s a m r ai m t a r
samræmda	s a m r ai m t a
samræmd	s a m r ai m t
samræmdum	s a m r ai m t Y m
samræmdu	s a m r ai m t Y
samræmingu	s a m r ai m i N k Y
samræmi	s a m r ai m I
samræmis	s a m r ai m I s
samræmist	s a m r ai m I s t
samræmt	s a m r ai m_0 t
sam	s a: m
samsetning	s a m s E h t n i N k
samsetningu	s a m s E h t n i N k Y
samsett	s a m s E h t
samskipa	s a m s c I p a
samskip	s a m s c I p
samskiptaforrita	s a m s c I f t a f O r I t a
samskiptaregluna	s a m s c I f t a r E k l Y n a
samskipta	s a m s c I f t a
samskiptatækni	s a m s c I f t a t_h ai h k n I
samskiptaverkefnið	s a m s c I f t a v E r_0 k E p n I D
samskiptaverkefni	s a m s c I f t a v E r_0 k E p n I
samskipti	s a m s c I f t I
samskiptum	s a m s c I f t Y m
samskipum	s a m s c I p Y m
samskonar	s a m s k O n a r
samson	s a m s O n
samspili	s a m s p I l I
samspil	s a m s p I l
sams	s a m s
samstaða	s a m s t a D a
samstarfið	s a m s t a r v I D
samstarfinu	s a m s t a r v I n Y
samstarfi	s a m s t a r v I
samstarfsaðilar	s a m s t a r f s a D I l a r
samstarfsaðila	s a m s t a r f s a D I l a
samstarfsaðili	s a m s t a r f s a D I l I
samstarfsaðilum	s a m s t a r f s a D I l Y m
samstarf	s a m s t a r f
samstarfsfólki	s a m s t a r f s f ou l_0 c I
samstarfsfólk	s a m s t a r f s f ou l_0 k
samstarfsfyrirtæki	s a m s t a r f s f I r I r_0 t_h ai c I
samstarfshefð	s a m s t a r f s h E v D
samstarfshópur	s a m s t a r f s h ou p Y r
samstarfsins	s a m s t a r f s I n s
samstarfskennara	s a m s t a r f s c_h E n a r a
samstarfskona	s a m s t a r f s k_h O n a
samstarfslæknar	s a m s t a r f s l ai h k n a r
samstarfsmaður	s a m s t a r f s m a D Y r
samstarfsmanna	s a m s t a r f s m a n a
samstarfsmanni	s a m s t a r f s m a n I
samstarfsmann	s a m s t a r f s m a n
samstarfsmennirnir	s a m s t a r f s m E n I r t n I r
samstarfsmenn	s a m s t a r f s m E n
samstarfsmönnum	s a m s t a r f s m 9 n Y m
samstarfsnefndarinnar	s a m s t a r f s t n E m t a r I n a r
samstarfsnefndar	s a m s t a r f s t n E m t a r
samstarfsnefnd	s a m s t a r f s t n E m t
samstarfsneti	s a m s t a r f s t n E t I
samstarfssamninginn	s a m s t a r f s a m n i J c I n
samstarfssamningi	s a m s t a r f s a m n i J c I
samstarfssamning	s a m s t a r f s a m n i N k
samstarfssamningur	s a m s t a r f s a m n i N k Y r
samstarfs	s a m s t a r f s
samstarfsverkefna	s a m s t a r f s v E r_0 k E p n a
samstarfsverkefni	s a m s t a r f s v E r_0 k E p n I
samstarfsverkefnum	s a m s t a r f s v E r_0 k E p n Y m
samstarfsvettvangur	s a m s t a r f s v E h t v au N k Y r
samstarfsyfirlýsingar	s a m s t a r f s I v I r l i s i N k a r
samsteypustjórn	s a m s t ei p Y s t j ou r t n_0
samstiga	s a m s t I G a
samstillt	s a m s t I l_0 t
samstilltu	s a m s t I l_0 t Y
samstíga	s a m s t i G a
samstundis	s a m s t Y n t I s
samstæðunnar	s a m s t ai D Y n a r
samstæðu	s a m s t ai D Y
samstöðu	s a m s t 9 D Y
samsung	s a m s u N
samsvarandi	s a m s v a r a n t I
samsvarar	s a m s v a r a r
samsvara	s a m s v a r a
samsvari	s a m s v a r I
samsæri	s a m s ai r I
samtakanna	s a m t_h a k a n a
samtaka	s a m t_h a k a
samtala	s a m t_h a l a
samtalið	s a: m t_h a l I D
samtalinu	s a m t_h a l I n Y
samtali	s a m t_h a l I
samtal	s a m t_h a l
samtalsins	s a m t_h a l s I n s
samtals	s a m t_h a l s
samtengd	s a m t_h ei N t
samtengdum	s a m t_h ei N t Y m
samtenginga	s a m t_h ei J c i N k a
samtíð	s a m t_h i D
samtímalist	s a m t_h i m a l I s t
samtímann	s a m t_h i m a n
samtímans	s a m t_h i m a n s
samtímanum	s a m t_h i m a n Y m
samtíma	s a m t_h i m a
samtímis	s a m t_h i m I s
samtryggingardeildar	s a m t_h r I c i N k a r t ei l t a r
samt	s a m_0 t
samtökin	s a m t_h 9 c I n
samtök	s a m t_h 9 k
samtökum	s a m t_h 9 k Y m
samtökunum	s a m t_h 9 k O n Y m
samtölin	s a: m t_h 9 l I n
samtöl	s a m t_h 9 l
samtölum	s a: m t_h 9 l Y m
samuel	s a m j u E l
samur	s a: m Y r
samúðarkveðjur	s a: m u D a r_0 k_h v E D j Y r
samúð	s a: m u D
samúel	s a: m u E l
samúelsdóttir	s a: m u E l s t ou h t I r
samúelsson	s a: m u E l s O n
samvera	s a m v E r a
samverkandi	s a m v E r_0 k a n t I
samveruna	s a m v E r Y n a
samveru	s a m v E r Y
samverustundirnar	s a m v E r Y s t Y n t I r t n a r
samverustundir	s a m v E r Y s t Y n t I r
samverustund	s a m v E r Y s t Y n t
samverustundum	s a m v E r Y s t Y n t Y m
samvinna	s a m v I n a
samvinnufélaga	s a m v I n Y f j E l a G a
samvinnunefndar	s a m v I n Y n E m t a r
samvinnunefnd	s a m v I n Y n E m t
samvinnu	s a m v I n Y
samvinnuverkefni	s a m v I n Y v E r_0 k E p n I
samviskubit	s a m v I s k Y p I t
samviskusamlega	s a m v I s k Y s a m l E G a
samvisku	s a m v I s k Y
samviskusemi	s a m v I s k Y s E m I
samvista	s a m v I s t a
samvistir	s a m v I s t I r
samvist	s a m v I s t
samvistum	s a m v I s t Y m
samþjöppun	s a m T j 9 h p Y n
samþykkir	s a m T I h c I r
samþykki	s a m T I h c I
samþykkis	s a m T I h c I s
samþykkja	s a m T I h c a
samþykk	s a m T I h k
samþykktar	s a m T I x t a r
samþykkta	s a m T I x t a
samþykktinni	s a m T I x t I n I
samþykktir	s a m T I x t I r
samþykkti	s a m T I x t I
samþykkt	s a m T I x t
samþykktum	s a m T I x t Y m
samþykktur	s a m T I x t Y r
samþykktu	s a m T I x t Y
samþykkur	s a m T I h k Y r
samþætta	s a m T ai h t a
samþættingu	s a m T ai h t i N k Y
sanchez	s a n t s j E s
sandefjord	s a n t E f j O r t
sanders	s a n t E r_0 s
sandgerði	s a n t c E r D I
sandgerðis	s a n t c E r D I s
sandglompuhögg	s a n t k l O m_0 p Y h 9 k
sandinn	s a n t I n
sandinum	s a n t I n Y m
sandi	s a n t I
sandkoli	s a n t k_h O l I
sandnes	s a n t n E s
sandra	s a n t r a
sandro	s a n t r ou
sand	s a n t
sandskeiði	s a n t s c ei D I
sandsteinn	s a n t s t ei t n_0
sandur	s a n t Y r
sandvatnshlíð	s a n t v a s l_0 i D
sandvatns	s a n t v a s
sandy	s a n t i
sane	s ei: n
sangría	s a N k r i j a
sangríu	s a N k r i j Y
sankti	s a n_0 t I
sannaðist	s a n a D I s t
sannað	s a n a D
sannanir	s a n a n I r
sannanlega	s a n a n l E G a
sannarlega	s a n a r l E G a
sannar	s a n a r
sanna	s a n a
sannast	s a n a s t
sannfærandi	s a n f ai r a n t I
sannfæra	s a n f ai r a
sannfærðir	s a n f ai r D I r
sannfærð	s a n f ai r D
sannfærður	s a n f ai r D Y r
sannfæring	s a n f ai r i N k
sannfæringu	s a n f ai r i N k Y
sannfært	s a n f ai r_0 t
sanngirni	s a J c I r t n I
sanngjarnar	s a J c a r t n a r
sanngjarna	s a J c a r t n a
sanngjarn	s a J c a r t n_0
sanngjarnt	s a J c a n_0 t
sanngjörn	s a J c 9 r t n_0
sanngjörnum	s a n c 9 r t n Y m
sanngjörnu	s a n c 9 r t n Y
sannindi	s a n I n t I
sannir	s a n I r
sanni	s a n I
sannkallað	s a N k_h a t l a D
sannkallaður	s a N k_h a t l a D Y r
sannkölluð	s a N k_h 9 t l Y D
sannlega	s a n l E G a
sannleikann	s a n l ei k a n
sannleikans	s a n l ei k a n s
sannleikanum	s a n l ei k a n Y m
sannleika	s a n l ei k a
sannleiksgildi	s a n l ei k s c I l t I
sannleikurinn	s a n l ei k Y r I n
sannleikur	s a n l ei k Y r
sannreyna	s a n r ei n a
sanns	s a n s
sannur	s a n Y r
san	s a n
santander	s a n_0 t a n t E r
santa	s a n_0 t a
santiago	s a n t_h i a k ou
santos	s a n t O s
sao	s a: ou
sapiens	s ei: p i j E n s
sarah	s a: r a
sara	s a: r a
sardinía	s a r t I n i j a
sarpsborg	s a r_0 p s p O r k
sarri	s a r i
sar	s a: r
sas	s a: s
sassuolo	s a s u ou l ou
sat	s a: t
satt	s a h t
satúrnus	s a: t u r n Y s
sauber	s au: p E r
sauce	s O s
sauðárkróki	s 9i: D au r_0 k_h r ou c I
sauðárkrók	s 9i: D au r k_h r ou k
sauðárkróks	s 9i: D au r k_h r ou k s
sauðfé	s 9i D f j E
sauðfjárbænda	s 9i D f j au r_0 p ai n t a
sauðfjárbændur	s 9i D f j au r p ai n t Y r
sauðfjárrækt	s 9i D f j au r ai x t
sauðfjár	s 9i D f j au r
sauðfjárslátrun	s 9i D f j au r_0 s t l au t r Y n
sauðkindar	s 9i D c_h I n t a r
sauðkindin	s 9i D c_h I n t I n
sauð	s 9i: D
saumaði	s 9i: m a D I
saumað	s 9i: m a D
saumana	s 9i: m a n a
sauma	s 9i: m a
saumaskap	s 9i: m a s k a p
saumavél	s 9i: m a v j E l
saurbæ	s 9i r p ai
sautjánda	s 9i: t j au n t a
sautjándi	s 9i: t j au n t I
sautjándu	s 9i: t j au n t Y
sautján	s 9i: t j au n
sauvignon	s O v I n j O n
save	s ei: v
saw	s O:
saxað	s a k s a D
saxaður	s a k s a D Y r
saxa	s a k s a
saying	s ei: j i N
say	s ei:
says	s E s
sáá	E s au: au:
sádinn	s au: t I n
sádi	s au: t I
sáð	s au: D
sálar	s au: l a r
sálfræðingar	s au l f r ai D i N k a r
sálfræðinga	s au l f r ai D i N k a
sálfræðingi	s au l f r ai D i J c I
sálfræðings	s au l f r ai D i N s
sálfræðingurinn	s au l f r ai D i N k Y r I n
sálfræðingur	s au l f r ai D i N k Y r
sálfræðiþjónustu	s au l f r ai D I T j ou n Y s t Y
sálina	s au: l I n a
sálinni	s au: l I n I
sálin	s au: l I n
sálir	s au: l I r
sálmabók	s au l m a p ou k
sálma	s au l m a
sál	s au: l
sálugi	s au: l Yi j I
sáluhjálp	s au: l Y C au l_0 p
sálu	s au: l Y
sáning	s au: n i N k
sápa	s au: p a
sáralítið	s au: r a l i t I D
sáran	s au: r a n
sára	s au: r a
sárið	s au: r I D
sárin	s au: r I n
sárir	s au: r I r
sárlega	s au r l E G a
sárrar	s au r a r
sársaukafullt	s au r_0 s 9i k a f Y l_0 t
sársauka	s au r_0 s 9i k a
sár	s au: r
sárt	s au r_0 t
sárum	s au: r Y m
sá	s au:
sást	s au s t
sáta	s au: t a
sáttar	s au h t a r
sátta	s au h t a
sáttasemjara	s au h t a s E m j a r a
sáttir	s au h t I r
sáttmálann	s au h t m au l a n
sáttmálans	s au h t m au l a n s
sáttmálanum	s au h t m au l a n Y m
sáttmála	s au h t m au l a
sátt	s au h t
sáttum	s au h t Y m
sáttur	s au h t Y r
sátum	s au: t Y m
sátu	s au: t Y
sáum	s au: Y m
sáu	s au: Y
sáust	s au: Y s t
scanner	s k a n E r
scene	s i: n
scheduled	s c E t j u l t
scheving	s c E: v i N k
scholes	s k ou: l s
schon	s j O n
schumacher	s j u: m a x E r
science	s ai j E n s
sciences	s ai j E n s E s
scientists	s ai j E n t_h I s t s
scooter	s k u: t E r
scooters	s k u: t E r_0 s
scored	s k O: r t
scores	s k O: r s
scotland	s k O h t l a n t
scottish	s k O h t I s j
scott	s k O h t
scout	s k au: t
scream	s k r i: m
screen	s k r i: n
script	s k r I p t
seafood	s i: f u t
seafoods	s i: f u t s
sean	s j O: n
search	s 9: r t s
sea	s i:
season	s i: s O n
seasons	s i: s O n s
seas	s i: s
seat	s i: t
seattle	s i: a h t u l
sebastian	s E p a s t I a n
second	s E k O n t
seconds	s E k O n t s
secret	s i: k_h r E t
secrets	s i: k_h r E t s
section	s E x s j O n
sector	s E x t O r
sedan	s E t a n
seðill	s E: D I t l_0
seðlabankann	s E D l a p au N_0 k a n
seðlabankans	s E D l a p au N_0 k a n s
seðlabankanum	s E D l a p au N_0 k a n Y m
seðlabankar	s E D l a p au N_0 k a r
seðlabanka	s E D l a p au N_0 k a
seðlabankastjóra	s E D l a p au N_0 k a s t j ou r a
